Cause,Year,Deaths
All Other Causes,2007,8142
All Other Causes,2008,8556
All Other Causes,2009,8445
All Other Causes,2010,9552
All Other Causes,2011,10387
All Other Causes,2012,10708
All Other Causes,2013,11075
All Other Causes,2014,11134
Diabetes Mellitus,2007,1555
Diabetes Mellitus,2008,1631
Diabetes Mellitus,2009,1678
Diabetes Mellitus,2010,1711
Diabetes Mellitus,2011,1770
Diabetes Mellitus,2012,1808
Diabetes Mellitus,2013,1843
Diabetes Mellitus,2014,1798
Diseases of Heart,2007,21441
Diseases of Heart,2008,21192
Diseases of Heart,2009,20084
Diseases of Heart,2010,17927
Diseases of Heart,2011,16900
Diseases of Heart,2012,16731
Diseases of Heart,2013,16759
Diseases of Heart,2014,16517
Influenza and Pneumonia,2007,2236
Influenza and Pneumonia,2008,2297
Influenza and Pneumonia,2009,2274
Influenza and Pneumonia,2010,2448
Influenza and Pneumonia,2011,2491
Influenza and Pneumonia,2012,2240
Influenza and Pneumonia,2013,2472
Influenza and Pneumonia,2014,2220
Malignant Neoplasms,2007,13249
Malignant Neoplasms,2008,13040
Malignant Neoplasms,2009,13174
Malignant Neoplasms,2010,13330
Malignant Neoplasms,2011,13438
Malignant Neoplasms,2012,13401
Malignant Neoplasms,2013,13358
Malignant Neoplasms,2014,13377
